block,label,year,Thinning,distance,elevation,slope,orientation,total_richness,core_richness,transient_richness,transient_prop,TNH,TCH,TNL,TCL,CNH,CNL
1210,T4E,2018,20 m,133.72,1356.813572,7.461924203,EW,5,5,0,0,0.103466868,2.746379614,0.105977476,3.002554893,26.54356565,28.33200994
1210,T4E,2018,20 m,133.72,1356.813572,7.461924203,EW,5,5,0,0,0.100155428,2.874789,0.107044853,1.718255758,28.70327705,16.05173631
1212,CONTROL1,2018,Control,265.39,1362.128685,7.995237938,NS,5,5,0,0,0.174918637,4.635569572,0.087545305,1.894385815,26.50129032,21.63891946
1212,CONTROL1,2018,Control,265.39,1362.128685,7.995237938,NS,3,3,0,0,0.108881816,3.53974247,0.081598297,2.257288218,32.50995062,27.66342322
1212,CONTROL1,2018,Control,265.39,1362.128685,7.995237938,NS,7,7,0,0,0.123792909,3.945762157,0.091228589,2.726653337,31.87389477,29.88814532
1212,CONTROL1,2018,Control,265.39,1362.128685,7.995237938,NS,5,5,0,0,0.237344936,8.62628746,0.196278021,5.724187851,36.34494008,29.16367217
1212,CONTROL1,2018,Control,265.39,1362.128685,7.995237938,NS,4,4,0,0,0.21741809,6.958528996,0.110836707,3.041818619,32.00528995,27.44414463
1212,CONTROL2,2018,Control,286.32,1362.624858,8.802438721,NS,5,5,0,0,0.186754674,5.435778141,0.16129002,4.862065315,29.1065173,30.14486155
1212,CONTROL2,2018,Control,286.32,1362.624858,8.802438721,NS,6,6,0,0,0.189564258,4.221792221,0.141232729,2.921566486,22.271035,20.6861859
1212,CONTROL2,2018,Control,286.32,1362.624858,8.802438721,NS,7,7,0,0,0.140413359,4.09885931,0.127178997,2.544247389,29.19137712,20.00524814
1212,CONTROL2,2018,Control,286.32,1362.624858,8.802438721,NS,4,4,0,0,0.132090926,2.95758009,0.115113467,2.555913687,22.39048643,22.20342896
1212,CONTROL2,2018,Control,286.32,1362.624858,8.802438721,NS,4,4,0,0,0.16948162,4.934243679,0.114192545,2.522305489,29.11373914,22.08817992
1212,T2F,2018,10 m,142.12,1357.430108,10.32113636,NS,6,6,0,0,0.110264145,2.827623367,0.110326305,2.81284523,25.6440874,25.49568962
1212,T2F,2018,10 m,142.12,1357.430108,10.32113636,NS,8,8,0,0,0.117893107,3.458929062,0.063679427,1.569305539,29.33953598,24.64383892
1212,T2F,2018,10 m,142.12,1357.430108,10.32113636,NS,5,5,0,0,0.125894144,3.623710394,0.092181697,2.246297359,28.7837883,24.36814922
1212,T2F,2018,10 m,142.12,1357.430108,10.32113636,NS,5,5,0,0,0.134775519,3.4988904,0.097134352,2.553256035,25.96087491,26.28581948
1212,T2F,2018,10 m,142.12,1357.430108,10.32113636,NS,5,5,0,0,0.10663531,2.252418041,0.095481277,2.100779533,21.12262858,22.00200511
1212,T2G,2018,10 m,148.16,1361.672168,9.054935668,NS,7,7,0,0,0.100943007,2.402057171,0.083623268,2.208061457,23.79617224,26.40486933
1212,T2G,2018,10 m,148.16,1361.672168,9.054935668,NS,9,9,0,0,0.097193696,2.090188503,0.067694902,0.726463616,21.50539179,10.73143752
1212,T2G,2018,10 m,148.16,1361.672168,9.054935668,NS,5,5,0,0,0.091262341,2.547170877,0.114024863,2.870738506,27.91042682,25.17642591
1212,T2G,2018,10 m,148.16,1361.672168,9.054935668,NS,4,4,0,0,0.075298078,1.808148503,0.105008215,1.908637524,24.01320914,18.17607821
1212,T2G,2018,10 m,148.16,1361.672168,9.054935668,NS,3,3,0,0,0.137434348,4.623192787,0.085436419,2.084643364,33.63928187,24.39993854
1212,T3D,2018,15 m,94.65,1358.384051,6.052570695,NS,8,8,0,0,0.128147289,2.578727245,0.135675982,2.805123568,20.12315096,20.67516692
1212,T3D,2018,15 m,94.65,1358.384051,6.052570695,NS,7,7,0,0,0.226669088,7.009325504,0.095754661,2.395484686,30.92316454,25.01689912
1212,T3D,2018,15 m,94.65,1358.384051,6.052570695,NS,7,7,0,0,0.452949584,15.54242229,0.09430474,2.211317301,34.31380193,23.44863355
1212,T3D,2018,15 m,94.65,1358.384051,6.052570695,NS,9,7,2,0.222222222,0.450685263,11.63152218,0.135210931,2.686231613,25.80852569,19.86697072
1212,T3D,2018,15 m,94.65,1358.384051,6.052570695,NS,10,7,3,0.3,0.274271011,5.81617403,0.117265359,1.727615595,21.20593788,14.73253155
1212,T3E,2018,15 m,89.41,1357.948671,6.612867464,NS,8,6,2,0.25,0.185312137,4.861001968,0.196044266,5.468892574,26.23142794,27.89621283
1212,T3E,2018,15 m,89.41,1357.948671,6.612867464,NS,5,5,0,0,0.206789717,5.422390461,0.114851773,2.313143492,26.22176063,20.14025065
1212,T3E,2018,15 m,89.41,1357.948671,6.612867464,NS,6,6,0,0,0.300148815,10.74826241,0.111386202,3.581695795,35.80977792,32.15565054
1212,T3E,2018,15 m,89.41,1357.948671,6.612867464,NS,7,7,0,0,0.237553373,7.669266701,0.199579179,5.906210899,32.28439405,29.59332191
1212,T3E,2018,15 m,89.41,1357.948671,6.612867464,NS,4,4,0,0,0.396313101,9.641887665,0.27095449,8.216747284,24.32896525,30.32519333
1212,T4A,2018,20 m,120.82,1363.023641,7.560200535,NS,8,8,0,0,0.107278921,2.229974747,0.118231669,3.175432205,20.78670005,26.85771275
1212,T4A,2018,20 m,120.82,1363.023641,7.560200535,NS,7,7,0,0,0.089078583,1.871370316,0.107816547,2.382446527,21.00808361,22.09722524
1212,T4A,2018,20 m,120.82,1363.023641,7.560200535,NS,6,6,0,0,0.21782586,7.432961941,0.100733444,1.771469235,34.12341376,17.585711
1212,T4A,2018,20 m,120.82,1363.023641,7.560200535,NS,7,7,0,0,0.135426998,3.240965843,0.098927133,2.192838192,23.9314604,22.16619577
1212,T4A,2018,20 m,120.82,1363.023641,7.560200535,NS,6,6,0,0,0.131712839,3.303640604,0.080612078,1.725454211,25.08214559,21.40441293
1212,T4B,2018,20 m,102.64,1362.069111,7.011158222,NS,9,9,0,0,0.09679313,2.213196516,0.077373087,1.598857045,22.86522313,20.66425289
1212,T4B,2018,20 m,102.64,1362.069111,7.011158222,NS,8,8,0,0,0.101747766,2.253374577,0.106774785,2.577754974,22.1466737,24.14198243
1212,T4B,2018,20 m,102.64,1362.069111,7.011158222,NS,6,6,0,0,0.095985264,2.453249693,0.112250313,2.964093447,25.55860766,26.40610403
1212,T4B,2018,20 m,102.64,1362.069111,7.011158222,NS,5,5,0,0,0.111006573,2.402142763,0.096048325,2.332937717,21.63964441,24.28920765
1212,T4B,2018,20 m,102.64,1362.069111,7.011158222,NS,6,6,0,0,0.161551952,4.954567909,0.119111732,3.092944622,30.6685734,25.96675054
